id,area,range frequency(MHz),range frequency max(MHz),electric field strength,electric field strength max,magnetic field strength,magnetic field strength max,power density(W/M),power density max(W/M)
1,khamana,1964,1900,68,61,0.21,0.16,10,10
2,khamanb,2040,1900,56,61,0.36,0.16,15,10
3,khamanc,2022,1900,89,61,0.55,0.16,30,10
4,courtcirclea,1841,1900,66,61,0.26,0.16,25,10
5,courtcircleb,1999,1900,69,61,0.36,0.16,14,10
6,courtcirclec,1766,1900,59,61,0.56,0.16,22,10
7,ramnagara,1255,1900,86,61,0.25,0.16,32,10
8,ramnagarb,2222,1900,77,61,0.59,0.16,11,10
9,ramnagarc,1443,1900,55,61,0.7,0.16,3,10
10,ramnagard,1988,1900,81,61,0.53,0.16,6,10
